file_id,line_number,text
DeLaMare2_Silver_Penny,1,"‘Sailorman, I ’ll give to you"
DeLaMare2_Silver_Penny,2,"My bright silver penny,"
DeLaMare2_Silver_Penny,3,If out to sea you ’ll sail me
DeLaMare2_Silver_Penny,4,And my dear sister Jenny.’
DeLaMare2_Silver_Penny,5,"‘Get in, young sir, I ’ll sail ye"
DeLaMare2_Silver_Penny,6,"And your dear sister Jenny,"
DeLaMare2_Silver_Penny,7,But pay she shall her golden locks
DeLaMare2_Silver_Penny,8,Instead of your penny.’
DeLaMare2_Silver_Penny,9,"They sail away, they sail away,"
DeLaMare2_Silver_Penny,10,O fierce the winds blew!
DeLaMare2_Silver_Penny,11,"The foam flew in clouds,"
DeLaMare2_Silver_Penny,12,And dark the night grew!
DeLaMare2_Silver_Penny,13,And all the wild sea-water
DeLaMare2_Silver_Penny,14,Climbed steep into the boat;
DeLaMare2_Silver_Penny,15,Back to the shore again
DeLaMare2_Silver_Penny,16,Sail they will not.
DeLaMare2_Silver_Penny,17,"Drowned is the sailorman,"
DeLaMare2_Silver_Penny,18,"Drowned is sweet Jenny,"
DeLaMare2_Silver_Penny,19,And drowned in the deep sea
DeLaMare2_Silver_Penny,20,A bright silver penny.
DeLaMare2_Silver_Penny,21,1902
DeLaMare2_Silver_Penny,22,(From Poems 1901 to 1918.  2 vols.  London: Constable
DeLaMare2_Silver_Penny,23,"and Co. Ltd., 1920)"
Davis3_Lament_ONeill,1,"“Did they dare, did they dare, to slay Eoghan Ruadh O’Neill?”"
Davis3_Lament_ONeill,2,"“Yes, they slew with poison him, they feared to meet with steel.”"
Davis3_Lament_ONeill,3,“May God wither up their hearts!  May their blood cease to flow!
Davis3_Lament_ONeill,4,"“May they walk in living death, who poisoned Eoghan Ruadh!"
Davis3_Lament_ONeill,5,II.
Davis3_Lament_ONeill,6,"Though it break my heart to hear, say again the bitter words.”"
Davis3_Lament_ONeill,7,"“From Derry, against Cromwell, he marched to measure swords;"
Davis3_Lament_ONeill,8,"But the weapon of the Sacsanach met him on his way,"
Davis3_Lament_ONeill,9,"And he died at Cloch Uachtar, upon Saint Leonard’s day.”"
Davis3_Lament_ONeill,10,III.
Davis3_Lament_ONeill,11,"“Wail, wail ye for the Mighty One!  Wail, wail ye for the Dead;"
Davis3_Lament_ONeill,12,"Quench the hearth, and hold the breath — with ashes strew the head.  10"
Davis3_Lament_ONeill,13,How tenderly we loved him!  How deeply we deplore!
Davis3_Lament_ONeill,14,Holy Saviour! but to think we shall never see him more.
Davis3_Lament_ONeill,15,IV.
Davis3_Lament_ONeill,16,"Sagest in the council was he, kindest in the Hall"
Davis3_Lament_ONeill,17,Sure we never won a battle — ’twas Eoghan won them all.
Davis3_Lament_ONeill,18,Had he lived — had he lived — our dear country had been free;
Davis3_Lament_ONeill,19,"But he’s dead, but he’s dead, and ’tis slaves we’ll ever be."
Davis3_Lament_ONeill,20,V.
Davis3_Lament_ONeill,21,"O’Farrell and Clanrickarde, Preston and Red Hugh,"
Davis3_Lament_ONeill,22,"Audley and MacMahon — ye are valiant, wise, and true;"
Davis3_Lament_ONeill,23,"But — what, what are ye all to our darling who is gone?"
Davis3_Lament_ONeill,24,"The Rudder of our ship was he, our Castle’s corner stone!"
Davis3_Lament_ONeill,25,VI.
Davis3_Lament_ONeill,26,"Wail, wail him through the Island!  Weep, weep for our pride!"
Davis3_Lament_ONeill,27,Would that on the battle-field our gallant chief had died!
Davis3_Lament_ONeill,28,"Weep the Victor of Beann-bhorbh — weep him, young man and old;"
Davis3_Lament_ONeill,29,"Weep for him, ye women — your Beautiful lies cold!"
Davis3_Lament_ONeill,30,VII.
Davis3_Lament_ONeill,31,"We thought you would not die — we were sure you would not go,"
Davis3_Lament_ONeill,32,And leave us in our utmost need to Cromwell’s cruel blow —
Davis3_Lament_ONeill,33,"Sheep without a shepherd, when the snow shuts out the sky —"
Davis3_Lament_ONeill,34,"Oh! why did you leave us, Eoghan?  Why did you die?"
Davis3_Lament_ONeill,35,VIII.
Davis3_Lament_ONeill,36,"Soft as woman’s was your voice, O’Neill! bright was your eye,"
Davis3_Lament_ONeill,37,"Oh! why did you leave us, Eoghan? why did you die?"
Davis3_Lament_ONeill,38,"Your troubles are all over, you’re at rest with God on high;"
Davis3_Lament_ONeill,39,"But we’re slaves, and we’re orphans, Eoghan! — why did you die?”"
Davis3_Lament_ONeill,40,"(From The Poems of Thomas Davis.  With Notes, Historical Illustrations,"
Davis3_Lament_ONeill,41,"etc, and an Introduction by John Mitchel.  New York, 1854)"
Davidson8_Hell,1,‘A letter from my love to-day!
Davidson8_Hell,2,"Oh, unexpected, dear appeal!’"
Davidson8_Hell,3,"She struck a happy tear away,"
Davidson8_Hell,4,And broke the crimson seal.
Davidson8_Hell,5,"‘My love, there is no help on earth,"
Davidson8_Hell,6,No help in heaven; the dead-man’s bell
Davidson8_Hell,7,Must toll our wedding; our first hearth
Davidson8_Hell,8,Must be the well-paved floor of hell.’
Davidson8_Hell,9,"The colour died from out her face,"
Davidson8_Hell,10,Her eyes like ghostly candles shone;
Davidson8_Hell,11,"She cast dread looks about the place,"
Davidson8_Hell,12,Then clenched her teeth and read right on.
Davidson8_Hell,13,‘I may not pass the prison door;
Davidson8_Hell,14,"Here must I rot from day to day,"
Davidson8_Hell,15,"Unless I wed whom I abhor,"
Davidson8_Hell,16,"My cousin, Blanche of Valencay."
Davidson8_Hell,17,‘At midnight with my dagger keen
Davidson8_Hell,18,I’ll take my life; it must be so.
Davidson8_Hell,19,"Meet me in hell to-night, my queen,"
Davidson8_Hell,20,For weal and woe.’
Davidson8_Hell,21,"She laughed although her face was wan,"
Davidson8_Hell,22,"She girded on her golden belt,"
Davidson8_Hell,23,"She took her jewelled ivory fan,"
Davidson8_Hell,24,And at her glowing missal knelt.
Davidson8_Hell,25,"Then rose, ‘And am I mad?’ she said;"
Davidson8_Hell,26,"She broke her fan, her belt untied;"
Davidson8_Hell,27,"With leather girt herself instead,"
Davidson8_Hell,28,And stuck a dagger at her side.
Davidson8_Hell,29,"She waited, shuddering in her room,"
Davidson8_Hell,30,Till sleep had fallen on all the house.
Davidson8_Hell,31,She never flinched; she faced her doom:
Davidson8_Hell,32,They two must sin to keep their vows.
Davidson8_Hell,33,"Then out into the night she went,"
Davidson8_Hell,34,And stooping crept by hedge and tree;
Davidson8_Hell,35,"Her rose-bush flung a snare of scent,"
Davidson8_Hell,36,And caught a happy memory.
Davidson8_Hell,37,"She fell, and lay a minute’s space;"
Davidson8_Hell,38,She tore the sward in her distress;
Davidson8_Hell,39,The dewy grass refreshed her face;
Davidson8_Hell,40,She rose and ran with lifted dress.
Davidson8_Hell,41,She started like a morn-caught ghost
Davidson8_Hell,42,Once when the moon came out and stood
Davidson8_Hell,43,"To watch; the naked road she crossed,"
Davidson8_Hell,44,And dived into the murmuring wood.
Davidson8_Hell,45,The branches snatched her streaming cloak;
Davidson8_Hell,46,A live thing shrieked; she made no stay!
Davidson8_Hell,47,She hurried to the trysting-oak—
Davidson8_Hell,48,Right well she knew the way.
Davidson8_Hell,49,"Without a pause she bared her breast,"
Davidson8_Hell,50,"And drove her dagger home and fell,"
Davidson8_Hell,51,"And lay like one that takes her rest,"
Davidson8_Hell,52,And died and wakened up in hell.
Davidson8_Hell,53,"She bathed her spirit in the flame,"
Davidson8_Hell,54,And near the centre took her post;
Davidson8_Hell,55,"From all sides to her ears there came,"
Davidson8_Hell,56,The dreary anguish of the lost.
Davidson8_Hell,57,"The devil started at her side,"
Davidson8_Hell,58,"Comely, and tall, and black as jet."
Davidson8_Hell,59,‘I am young Malespina’s bride;
Davidson8_Hell,60,Has he come hither yet?’
Davidson8_Hell,61,"‘My poppet, welcome to your bed.’"
Davidson8_Hell,62,‘Is Malespina here?’
Davidson8_Hell,63,‘Not he! To-morrow he must wed
Davidson8_Hell,64,"His cousin Blanche, my dear!’"
Davidson8_Hell,65,"‘You lie, he died with me to-night.’"
Davidson8_Hell,66,‘Not he! it was a plot.’  ‘You lie.’
Davidson8_Hell,67,"‘My dear, I never lie outright.’"
Davidson8_Hell,68,‘We died at midnight he and I.’
Davidson8_Hell,69,The devil went.  Without a groan
Davidson8_Hell,70,"She, gathered up in one fierce prayer,"
Davidson8_Hell,71,"Took root in hell’s midst all alone,"
Davidson8_Hell,72,And waited for him there.
Davidson8_Hell,73,She dared to make herself at home
Davidson8_Hell,74,"Amidst the wail, the uneasy stir."
Davidson8_Hell,75,"The blood-stained flame that filled the dome,"
Davidson8_Hell,76,"Scentless and silent, shrouded her."
Davidson8_Hell,77,How long she stayed I cannot tell;
Davidson8_Hell,78,"But when she felt his perfidy,"
Davidson8_Hell,79,She marched across the floor of hell;
Davidson8_Hell,80,And all the damned stood up to see.
Davidson8_Hell,81,The devil stopped her at the brink:
Davidson8_Hell,82,"She shook him off; she cried, ‘Away![’]"
Davidson8_Hell,83,"‘My dear, you have gone mad, I think.’"
Davidson8_Hell,84,‘I was betrayed: I will not stay.’
Davidson8_Hell,85,Across the weltering deep she ran;
Davidson8_Hell,86,A stranger thing was never seen;
Davidson8_Hell,87,The damned stood silent to a man;
Davidson8_Hell,88,They saw the great gulf set between.
Davidson8_Hell,89,To her it seemed a meadow fair;
Davidson8_Hell,90,And flowers sprang up about her feet.
Davidson8_Hell,91,She entered heaven; she climbed the stair
Davidson8_Hell,92,And knelt down at the mercy-seat.
Davidson8_Hell,93,Seraphs and saints with one great voice
Davidson8_Hell,94,Welcomed that soul that knew not fear;
Davidson8_Hell,95,"Amazed to find it could rejoice,"
Davidson8_Hell,96,Hell raised a hoarse half-human cheer.
Davidson8_Hell,97,1894
DeLaMare1_Ghost,1,"‘Who knocks?’  ‘I, who was beautiful,"
